Date,CDI
2009-12-30,22.35004
2009-12-31,22.35732
2010-01-04,22.3646
2010-01-05,22.37193
2010-01-06,22.37926
2010-01-07,22.3866
2010-01-08,22.39395
2010-01-11,22.4013
2010-01-12,22.40865
2010-01-13,22.416
2010-01-14,22.42336
2010-01-15,22.43072
2010-01-18,22.43807
2010-01-19,22.44543
2010-01-20,22.45278
2010-01-21,22.46015
2010-01-22,22.46752
2010-01-25,22.47489
2010-01-26,22.48227
2010-01-27,22.48965
2010-01-28,22.49703
2010-01-29,22.50441
2010-02-01,22.5118
2010-02-02,22.5192
2010-02-03,22.52659
2010-02-04,22.53398
2010-02-05,22.54137
2010-02-08,22.54877
2010-02-09,22.55617
2010-02-10,22.56357
2010-02-11,22.57097
2010-02-12,22.57838
2010-02-17,22.58579
2010-02-18,22.5932
2010-02-19,22.60063
2010-02-22,22.60805
2010-02-23,22.61548
2010-02-24,22.62291
2010-02-25,22.63033
2010-02-26,22.63776
2010-03-01,22.64519
2010-03-02,22.65261
2010-03-03,22.66005
2010-03-04,22.66748
2010-03-05,22.67491
2010-03-08,22.68234
2010-03-09,22.689799999999998
2010-03-10,22.69725
2010-03-11,22.70471
2010-03-12,22.71216
2010-03-15,22.7196
2010-03-16,22.72706
2010-03-17,22.73451
2010-03-18,22.74197
2010-03-19,22.74943
2010-03-22,22.75689
2010-03-23,22.76436
2010-03-24,22.77183
2010-03-25,22.7793
2010-03-26,22.78677
2010-03-29,22.79423
2010-03-30,22.80166
2010-03-31,22.80912
2010-04-01,22.8166
2010-04-05,22.82405
2010-04-06,22.83153
2010-04-07,22.83903
2010-04-08,22.84653
2010-04-09,22.85403
2010-04-12,22.86153
2010-04-13,22.86904
2010-04-14,22.87654
2010-04-15,22.88404
2010-04-16,22.89155
2010-04-19,22.899070000000002
2010-04-20,22.9066
2010-04-22,22.91412
2010-04-23,22.92164
2010-04-26,22.92916
2010-04-27,22.93669
2010-04-28,22.94422
2010-04-29,22.95175
2010-04-30,22.95992
2010-05-03,22.96809
2010-05-04,22.97629
2010-05-05,22.98449
2010-05-06,22.99269
2010-05-07,23.00088
2010-05-10,23.00908
2010-05-11,23.01727
2010-05-12,23.02545
2010-05-13,23.03364
2010-05-14,23.04184
2010-05-17,23.05004
2010-05-18,23.05824
2010-05-19,23.06644
2010-05-20,23.07464
2010-05-21,23.08284
2010-05-24,23.09105
2010-05-25,23.09926
2010-05-26,23.10748
2010-05-27,23.1157
2010-05-28,23.12392
2010-05-31,23.13215
2010-06-01,23.14037
2010-06-02,23.14862
2010-06-04,23.15688
2010-06-07,23.16513
2010-06-08,23.17339
2010-06-09,23.18164
2010-06-10,23.18989
2010-06-11,23.19876
2010-06-14,23.20761
2010-06-15,23.21648
2010-06-16,23.22537
2010-06-17,23.23425
2010-06-18,23.24314
2010-06-21,23.25205
2010-06-22,23.26095
2010-06-23,23.26986
2010-06-24,23.27877
2010-06-25,23.28769
2010-06-28,23.29661
2010-06-29,23.30553
2010-06-30,23.31445
2010-07-01,23.32337
2010-07-02,23.33232
2010-07-05,23.34126
2010-07-06,23.35021
2010-07-07,23.35916
2010-07-08,23.36811
2010-07-09,23.37707
2010-07-12,23.38603
2010-07-13,23.395
2010-07-14,23.40396
2010-07-15,23.41293
2010-07-16,23.4219
2010-07-19,23.43088
2010-07-20,23.43986
2010-07-21,23.44884
2010-07-22,23.45783
2010-07-23,23.46724
2010-07-26,23.47666
2010-07-27,23.48608
2010-07-28,23.4955
2010-07-29,23.50492
2010-07-30,23.51435
2010-08-02,23.52377
2010-08-03,23.53322
2010-08-04,23.54267
2010-08-05,23.55211
2010-08-06,23.56157
2010-08-09,23.57102
2010-08-10,23.58048
2010-08-11,23.58994
2010-08-12,23.59941
2010-08-13,23.60888
2010-08-16,23.61836
2010-08-17,23.62784
2010-08-18,23.63732
2010-08-19,23.6468
2010-08-20,23.65628
2010-08-23,23.66576
2010-08-24,23.67525
2010-08-25,23.68475
2010-08-26,23.69425
2010-08-27,23.70375
2010-08-30,23.71326
2010-08-31,23.72276
2010-09-01,23.73227
2010-09-02,23.74178
2010-09-03,23.7513
2010-09-06,23.76082
2010-09-08,23.77033
2010-09-09,23.77985
2010-09-10,23.78939
2010-09-13,23.79893
2010-09-14,23.80846
2010-09-15,23.818
2010-09-16,23.82751
2010-09-17,23.837040000000002
2010-09-20,23.84659
2010-09-21,23.85614
2010-09-22,23.8657
2010-09-23,23.87526
2010-09-24,23.88483
2010-09-27,23.89441
2010-09-28,23.90399
2010-09-29,23.91356
2010-09-30,23.92313
2010-10-01,23.9327
2010-10-04,23.94231
2010-10-05,23.95191
2010-10-06,23.96153
2010-10-07,23.97114
2010-10-08,23.98076
2010-10-11,23.99039
2010-10-13,24.00002
2010-10-14,24.00965
2010-10-15,24.01927
2010-10-18,24.02891
2010-10-19,24.03856
2010-10-20,24.0482
2010-10-21,24.05785
2010-10-22,24.06751
2010-10-25,24.07717
2010-10-26,24.08683
2010-10-27,24.0965
2010-10-28,24.10617
2010-10-29,24.11584
2010-11-01,24.12552
2010-11-03,24.1352
2010-11-04,24.14489
2010-11-05,24.15458
2010-11-08,24.16427
2010-11-09,24.17397
2010-11-10,24.18367
2010-11-11,24.19337
2010-11-12,24.20307
2010-11-16,24.21278
