;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
2009;ELPL3.SA; ELPL4.SA;TIET4.SA ;TIET4.SA; TIET11.SA;BBAS3.SA;BBDC3.SA; BBDC4.SA;BRKM3.SA; BRKM5.SA; BRKM6.SA;CLSC3.SA ; CLSC4.SA;CMIG3.SA; CMIG4.SA;CESP3.SA; CESP5.SA; CESP6.SA;CPFE3.SA;COCE3.SA; COCE5.SA;DASA3.SA;DTEX3.SA;ELET3.SA; ELET5.SA; ELET6.SA;EMBR3.SA;ENBR3.SA;GGBR3.SA; GGBR4.SA;GOAU3.SA; GOAU4.SA;ITUB3.SA; ITUB4.SA;LIGT3.SA;ODPV3.SA;BRFS3.SA;SBSP3.SA;BRFS3.SA;SUZB3.SA;TIMP3.SA;EGIE3.SA;NTCO3.SA;;;;;;;;;;;;;;;;;;;
2010;ELPL3.SA; ELPL4.SA;TIET4.SA ;TIET4.SA; TIET11.SA;BBAS3.SA;BBDC3.SA; BBDC4.SA;BRKM3.SA; BRKM5.SA; BRKM6.SA;BRFS3.SA;CMIG3.SA; CMIG4.SA;CESP3.SA; CESP5.SA; CESP6.SA;CPLE3.SA; CPLE6.SA;COCE3.SA; COCE5.SA;CPFE3.SA;DASA3.SA;DTEX3.SA;ELET3.SA; ELET5.SA; ELET6.SA;EMBR3.SA;ENBR3.SA;EVEN3.SA;FIBR3.SA; SUZB3.SA;GGBR3.SA; GGBR4.SA;ROMI3.SA ;ITSA3.SA; ITSA4.SA;ITUB3.SA; ITUB4.SA;LIGT3.SA;NTCO3.SA;SBSP3.SA;SULA3.SA; SULA4.SA; SULA11.SA;GOAU3.SA; GOAU4.SA;SUZB3.SA;TIMP3.SA;EGIE3.SA;USIM3.SA; USIM5.SA; USIM6.SA;VIVT3.SA; VIVT4.SA;;;;;;;
2011;ELPL3.SA; ELPL4.SA;TIET4.SA ;TIET4.SA; TIET11.SA;AEDU3.SA;BBAS3.SA;BBDC3.SA; BBDC4.SA;BRKM3.SA; BRKM5.SA; BRKM6.SA;BRFS3.SA;CESP3.SA; CESP5.SA; CESP6.SA;CMIG3.SA; CMIG4.SA;COCE3.SA; COCE5.SA;CSMG3.SA;CPLE3.SA; CPLE6.SA;CPFE3.SA;DTEX3.SA;ELET3.SA; ELET5.SA; ELET6.SA;EMBR3.SA;ENBR3.SA;EVEN3.SA;GGBR3.SA; GGBR4.SA;GOAU3.SA; GOAU4.SA;ROMI3.SA ;ITSA3.SA; ITSA4.SA;ITUB3.SA; ITUB4.SA;LIGT3.SA;NTCO3.SA;FIBR3.SA; SUZB3.SA;SBSP3.SA;SANB3.SA; SANB4.SA; SANB11.SA;SULA3.SA; SULA4.SA; SULA11.SA;SUZB3.SA;TIMP3.SA;EGIE3.SA;UGPA3.SA;VALE3.SA;VIVT3.SA; VIVT4.SA;;;;
2012;ELPL3.SA; ELPL4.SA;TIET4.SA ;TIET4.SA; TIET11.SA;AEDU3.SA;BBAS3.SA;BBDC3.SA; BBDC4.SA;BRKM3.SA; BRKM5.SA; BRKM6.SA;BRFS3.SA;CMIG3.SA; CMIG4.SA;CCRO3.SA;CESP3.SA; CESP5.SA; CESP6.SA;COCE3.SA; COCE5.SA;CSMG3.SA;CPLE3.SA; CPLE6.SA;CPFE3.SA;DTEX3.SA;ECOR3.SA;ELET3.SA; ELET5.SA; ELET6.SA;EMBR3.SA;EVEN3.SA;FIBR3.SA; SUZB3.SA;GGBR3.SA; GGBR4.SA;GOAU3.SA; GOAU4.SA;ITSA3.SA; ITSA4.SA;ITUB3.SA; ITUB4.SA;LIGT3.SA;NTCO3.SA;ENBR3.SA;SBSP3.SA;SANB3.SA; SANB4.SA; SANB11.SA;SULA3.SA; SULA4.SA; SULA11.SA;SUZB3.SA;TIMP3.SA;EGIE3.SA;UGPA3.SA;VALE3.SA;;;;;
2013;ELPL3.SA; ELPL4.SA;TIET4.SA ;TIET4.SA; TIET11.SA;BBAS3.SA;BBDC3.SA; BBDC4.SA;BRKM3.SA; BRKM5.SA; BRKM6.SA;BRFS3.SA;CCRO3.SA;CESP3.SA; CESP5.SA; CESP6.SA;CMIG3.SA; CMIG4.SA;COCE3.SA; COCE5.SA;CSMG3.SA;CPLE3.SA; CPLE6.SA;CPFE3.SA;DTEX3.SA;ECOR3.SA;ELET3.SA; ELET5.SA; ELET6.SA;ENBR3.SA;EVEN3.SA;GGBR3.SA; GGBR4.SA;GOAU3.SA; GOAU4.SA;ITSA3.SA; ITSA4.SA;ITUB3.SA; ITUB4.SA;LIGT3.SA;NTCO3.SA;SBSP3.SA;SANB3.SA; SANB4.SA; SANB11.SA;FIBR3.SA; SUZB3.SA;SULA3.SA; SULA4.SA; SULA11.SA;SUZB3.SA;VIVT3.SA; VIVT4.SA;TIMP3.SA;EGIE3.SA;UGPA3.SA;VALE3.SA;WEGE3.SA;;;;
2014;ELPL3.SA; ELPL4.SA;TIET3.SA; TIET4.SA; TIET11.SA;BBAS3.SA;BBDC3.SA; BBDC4.SA;BRKM5.SA;BRFS3.SA;CCRO3.SA;CESP3.SA; CESP5.SA; CESP6.SA;CMIG3.SA; CMIG4.SA;CIEL3.SA;COCE3.SA; COCE5.SA;CSMG3.SA;CPLE3.SA;CPFE3.SA;DTEX3.SA;ECOR3.SA;ELET3.SA; ELET5.SA; ELET6.SA;EMBR3.SA;EVEN3.SA;FIBR3.SA; SUZB3.SA;FLRY3.SA;GGBR3.SA; GGBR4.SA;GOAU3.SA; GOAU4.SA;ITSA3.SA; ITSA4.SA;ITUB3.SA; ITUB4.SA;KLBN3.SA; KLBN4.SA; KLBN11.SA;ENBR3.SA;LIGT3.SA;NTCO3.SA;OIBR3.SA; OIBR4.SA;SBSP3.SA;SANB3.SA; SANB4.SA; SANB11.SA;SULA3.SA; SULA4.SA; SULA11.SA;SUZB3.SA;VIVT3.SA; VIVT4.SA;TIMP3.SA;EGIE3.SA;VALE3.SA;WEGE3.SA
2015;ELPL3.SA; ELPL4.SA;TIET4.SA;BTOW3.SA;BTOW9.SA;BBAS3.SA;BBDC3.SA; BBDC4.SA;BRKM5.SA;BRFS3.SA;CCRO3.SA;CIEL3.SA;CMIG3.SA; CMIG4.SA;COCE3.SA; COCE5.SA;CPLE3.SA;CPFE3.SA;DTEX3.SA;ECOR3.SA;ELET3.SA; ELET5.SA; ELET6.SA;EMBR3.SA;ENBR3.SA;EVEN3.SA;FLRY3.SA;GGBR3.SA; GGBR4.SA;GOAU3.SA; GOAU4.SA;ITSA3.SA; ITSA4.SA;ITUB3.SA; ITUB4.SA;JSLG3.SA; JSLG11.SA;KLBN3.SA; KLBN4.SA; KLBN11.SA;LIGT3.SA;FIBR3.SA; SUZB3.SA;LAME3.SA; LAME4.SA;LREN3.SA;NTCO3.SA;SBSP3.SA;SANB3.SA; SANB4.SA; SANB11.SA;SULA3.SA; SULA4.SA; SULA11.SA;VIVT3.SA; VIVT4.SA;TIMP3.SA;EGIE3.SA;VALE3.SA;WEGE3.SA;;
2016;ELPL3.SA; ELPL4.SA;TIET4.SA ;TIET4.SA; TIET11.SA;BTOW3.SA; BTOW9.SA ;BBAS3.SA;BBDC3.SA; BBDC4.SA;BRKM3.SA; BRKM5.SA; BRKM6.SA;BRFS3.SA;CCRO3.SA;CESP3.SA; CESP5.SA; CESP6.SA;CMIG3.SA; CMIG4.SA;CIEL3.SA;CPLE3.SA; CPLE6.SA;CPLE3.SA; CPLE6.SA;DTEX3.SA;ECOR3.SA;ELET3.SA; ELET5.SA; ELET6.SA;EMBR3.SA;ENBR3.SA;EGIE3.SA;FIBR3.SA; SUZB3.SA;FLRY3.SA;ITSA3.SA; ITSA4.SA;ITUB3.SA; ITUB4.SA;KLBN3.SA; KLBN4.SA; KLBN11.SA;LIGT3.SA;LAME3.SA; LAME4.SA;LREN3.SA;EVEN3.SA;NTCO3.SA;SANB3.SA; SANB4.SA; SANB11.SA;SULA3.SA; SULA4.SA; SULA11.SA;VIVT3.SA; VIVT4.SA;TIMP3.SA;WEGE3.SA;;;
2017;ELPL3.SA; ELPL4.SA;TIET4.SA ;TIET4.SA; TIET11.SA;BTOW3.SA; BTOW9.SA ;BBAS3.SA;BBDC3.SA; BBDC4.SA;BRKM3.SA; BRKM5.SA; BRKM6.SA;BRFS3.SA;CCRO3.SA;CLSC3.SA ; CLSC4.SA;CMIG3.SA; CMIG4.SA;CIEL3.SA;CPLE3.SA; CPLE6.SA;CPLE3.SA; CPLE6.SA;DTEX3.SA;ECOR3.SA;ELET3.SA; ELET5.SA; ELET6.SA;EMBR3.SA;ENBR3.SA;EGIE3.SA;FIBR3.SA; SUZB3.SA;FLRY3.SA;ITSA3.SA; ITSA4.SA;ITUB3.SA; ITUB4.SA;KLBN3.SA; KLBN4.SA; KLBN11.SA;LIGT3.SA;LAME3.SA; LAME4.SA;LREN3.SA;MRVE3.SA;NTCO3.SA;SANB3.SA; SANB4.SA; SANB11.SA;SULA3.SA; SULA4.SA; SULA11.SA;VIVT3.SA; VIVT4.SA;TIMP3.SA;WEGE3.SA;;;;
2018;ELPL3.SA; ELPL4.SA;TIET4.SA ;TIET4.SA; TIET11.SA;BTOW3.SA; BTOW9.SA ;BBAS3.SA;BBDC3.SA; BBDC4.SA;BRKM3.SA; BRKM5.SA; BRKM6.SA;CCRO3.SA;CLSC3.SA ; CLSC4.SA;CMIG3.SA; CMIG4.SA;CIEL3.SA;CPLE3.SA; CPLE6.SA;CPLE3.SA; CPLE6.SA;DTEX3.SA;ECOR3.SA;ENBR3.SA;EGIE3.SA;FIBR3.SA; SUZB3.SA;FLRY3.SA;ITSA3.SA; ITSA4.SA;ITUB3.SA; ITUB4.SA;KLBN3.SA; KLBN4.SA; KLBN11.SA;LIGT3.SA;LAME3.SA; LAME4.SA;LREN3.SA;MRVE3.SA;NTCO3.SA;SANB3.SA; SANB4.SA; SANB11.SA;VIVT3.SA; VIVT4.SA;TIMP3.SA;WEGE3.SA;;;;;;;;;;;;
