"name.company","ref.date","acc.number","acc.desc","acc.value","acc.value.infl.adj"
"BANCO DO BRASIL S.A.",2011-12-31,"1","Ativo Total",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.01","Caixa e Equivalentes de Caixa",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.01.01","Caixa e Depósitos Bancários",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.01.02","Depósitos Interfinanceiros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.01.03","Aplicações em Operações Compromissadas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.02","Ativos Financeiros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.02.01","Ativos Financeiros Avaliados a Valor Justo através do Resultado",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.02.01.01","Títulos para Negociação",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.02.01.02","Títulos Designados a Valor Justo",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.02.02","Ativos Financeiros Avaliados a Valor Justo através de Outros Resultados Abrangentes",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.02.02.01","Títulos e valores mobiliários",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.03","Tributos Diferidos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.03.01","Imposto de Renda e Contribuição Social Diferidos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.03.02","Aplicações em Operações Compromissadas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.03.03","Empréstimos a Clientes Líquidos de Provisão",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.04","Outros Ativos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.04.01","Ativos Não Correntes a Venda",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.05","Investimentos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.05.01","Participações em Coligadas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.05.02","Participações em Controladas em Conjunto",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.05.03","Propriedades para Investimento",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.05.03.01","Ativos por Impostos Correntes",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.05.03.02","Outros Ativos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.05.03.03","Outros Ativos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.06","Imobilizado",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.06.01","Imobilizado de Uso",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.06.02","Direito de Uso em Arrendamento",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.07","Intangível",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.07.01","Intangíveis",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.07.02","Goodwill",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.08","Intangível",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.08.01","Intangíveis",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"1.08.02","Goodwill",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1","Ativo Total",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.01","Caixa e Equivalentes de Caixa",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.01.01","Caixa e Depósitos Bancários",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.01.02","Depósitos Interfinanceiros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.01.03","Aplicações em Operações Compromissadas",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.02","Ativos Financeiros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.02.01","Ativos Financeiros Avaliados a Valor Justo através do Resultado",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.02.01.01","Títulos para Negociação",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.02.01.02","Títulos Designados a Valor Justo",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.02.02","Ativos Financeiros Avaliados a Valor Justo através de Outros Resultados Abrangentes",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.02.02.01","Títulos e valores mobiliários",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.03","Tributos Diferidos",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.03.01","Imposto de Renda e Contribuição Social Diferidos",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.03.02","Aplicações em Operações Compromissadas",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.03.03","Empréstimos a Clientes Líquidos de Provisão",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.04","Outros Ativos",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.04.01","Ativos Não Correntes a Venda",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.05","Investimentos",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.05.01","Participações em Coligadas",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.05.02","Participações em Controladas em Conjunto",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.05.03","Propriedades para Investimento",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.05.03.01","Ativos por Impostos Correntes",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.05.03.02","Outros Ativos",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.05.03.03","Outros Ativos",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.06","Imobilizado",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.06.01","Imobilizado de Uso",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.06.02","Direito de Uso em Arrendamento",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.07","Intangível",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.07.01","Intangíveis",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.07.02","Goodwill",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.08","Intangível",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.08.01","Intangíveis",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"1.08.02","Goodwill",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1","Ativo Total",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.01","Caixa e Equivalentes de Caixa",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.01.01","Caixa e Depósitos Bancários",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.01.02","Depósitos Interfinanceiros",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.01.03","Aplicações em Operações Compromissadas",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.01.04","Aplicações em Moeda Estrangeira",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.02","Ativos Financeiros",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.02.01","Ativos Financeiros Avaliados a Valor Justo através do Resultado",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.02.01.01","Títulos para Negociação",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.02.01.02","Títulos Designados a Valor Justo",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.02.02","Ativos Financeiros Avaliados a Valor Justo através de Outros Resultados Abrangentes",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.02.02.01","Títulos e valores mobiliários",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.03","Tributos Diferidos",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.03.01","Imposto de Renda e Contribuição Social Diferidos",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.03.02","Aplicações em Operações Compromissadas",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.03.03","Empréstimos a Clientes Líquidos de Provisão",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.04","Outros Ativos",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.04.01","Ativos Não Correntes a Venda",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.05","Investimentos",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.05.01","Participações em Coligadas",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.05.02","Participações em Controladas em Conjunto",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.05.03","Propriedades para Investimento",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.05.03.01","Ativos por Impostos Correntes",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.05.03.02","Outros Ativos",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.05.03.03","Outros Ativos",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"1.06","Imobilizado",0,0
