"name.company","ref.date","acc.number","acc.desc","acc.value","acc.value.infl.adj"
"BANCO DO BRASIL S.A.",2011-12-31,"3.01","Receitas da Intermediação Financeira",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.01.01","Receita de Juros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.02","Despesas da Intermediação Financeira",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.02.01","Despesas de Juros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.02.02","Despesa com Perdas em Empréstimos a Clientes",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.03","Resultado Bruto Intermediação Financeira",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04","Outras Despesas/Receitas Operacionais",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.01","Receitas de Prestação de Serviços",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.02","Despesas de Pessoal",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.03","Outras Despesas Administrativas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.04","Despesas Tributárias",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.05","Outras Receitas Operacionais",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.05.01","Receita Líquida de Tarifas e Comissões",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.05.02","Ganhos/(Perdas) Líquidos sobre Ativos/Passivos Financeiros ao VJR",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.05.03","Ganhos/(Perdas) Líquidos sobre Ativos Financeiros ao VJORA",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.05.04","Ganhos/(Perdas) Líquidos em Coligadas e Joint Ventures",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.05.05","Outras Receitas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.05.06","Ganhos/(Perdas) em operação de câmbio e conversão moedas estrangeiras",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.06","Outras Despesas Operacionais",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.06.01","Contribuições, taxas e Outros Impostos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.06.02","Amortização de Ativos Intangíveis",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.06.03","Provisões",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.04.07","Resultado da Equivalência Patrimonial",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.05","Resultado Antes dos Tributos sobre o Lucro",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.06","Imposto de Renda e Contribuição Social sobre o Lucro",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.06.01","Corrente",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.06.02","Diferido",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.07","Resultado Líquido das Operações Continuadas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.08","Resultado Líquido das Operações Descontinuadas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.08.01","Lucro/Prejuízo Líquido das Operações Descontinuadas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.08.02","Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.09","Lucro/Prejuízo Consolidado do Período",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.09.01","Atribuído a Sócios da Empresa Controladora",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.09.02","Atribuído a Sócios Não Controladores",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.99","Lucro por Ação - (R$ / Ação)",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.99.01","Lucro Básico por Ação",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.99.01.01","ON",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.99.02","Lucro Diluído por Ação",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"3.99.02.01","ON",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"3.01","Receitas da Intermediação Financeira",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"3.01.01","Receita de Juros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"3.02","Despesas da Intermediação Financeira",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"3.02.01","Despesas de Juros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"3.02.02","Despesa com Perdas em Empréstimos a Clientes",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"3.03","Resultado Bruto Intermediação Financeira",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"3.04","Outras Despesas/Receitas Operacionais",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"3.04.01","Receitas de Prestação de Serviços",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"3.04.02","Despesas de Pessoal",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"3.04.03","Outras Despesas Administrativas",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"3.04.04","Despesas Tributárias",0,0
