"name.company","ref.date","acc.number","acc.desc","acc.value","acc.value.infl.adj"
"BANCO DO BRASIL S.A.",2011-12-31,"2","Passivo Total",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.01","Passivos Financeiros ao Valor Justo através do Resultado",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.02","Outros Passivos Financeiros Designados ao Valor Justo através do Resultado",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.03","Passivos Financeiros ao Custo Amortizado",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.03.01","Depósitos de Clientes",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.03.02","Valores a Pagar a Instituições Financeiras",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.03.03","Obrigações por Operações Compromissadas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.03.04","Obrigações por emissão de títulos e valores mobiliários e outras obrigações",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.03.05","Obrigações de Longo Prazo",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.04","Provisões",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.05","Passivos Fiscais",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.05.01","Passivos por Impostos Correntes",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.05.02","Passivos por Impostos Diferidos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.06","Outros Passivos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2,06.01","Passivos por Contrato de Seguros e Previdencia Complementar",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2,06.02","Outros Passivos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.07","Passivos sobre Ativos Não Correntes a Venda e Descontinuados",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.07.01","Passivos sobre Ativos Não Correntes a Venda",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.07.02","Passivos sobre Ativos de Operações Descontinuadas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08","Patrimônio Líquido Consolidado",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.01","Capital Social Realizado",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.02","Reservas de Capital",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.02.01","Ágio na Emissão de Ações",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.02.02","Reserva Especial de Ágio na Incorporação",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.02.03","Alienação de Bônus de Subscrição",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.02.04","Opções Outorgadas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.02.05","Ações em Tesouraria",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.03","Reservas de Reavaliação",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.04","Reservas de Lucros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.04.01","Reserva Legal",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.04.02","Reserva Estatutária",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.04.03","Reserva para Contingências",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.04.04","Reserva de Lucros a Realizar",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.04.05","Reserva de Retenção de Lucros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.04.06","Reserva Especial para Dividendos Não Distribuídos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.04.07","Reserva de Incentivos Fiscais",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.04.08","Dividendo Adicional Proposto",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.04.09","Ações em Tesouraria",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.05","Lucros/Prejuízos Acumulados",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.06","Ajustes de Avaliação Patrimonial",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.07","Ajustes Acumulados de Conversão",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.08","Outros Resultados Abrangentes",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"2.08.09","Participação dos Acionistas Não Controladores",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2","Passivo Total",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.01","Passivos Financeiros ao Valor Justo através do Resultado",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.02","Outros Passivos Financeiros Designados ao Valor Justo através do Resultado",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.03","Passivos Financeiros ao Custo Amortizado",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.03.01","Depósitos de Clientes",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.03.02","Valores a Pagar a Instituições Financeiras",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.03.03","Obrigações por Operações Compromissadas",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.03.04","Obrigações por emissão de títulos e valores mobiliários e outras obrigações",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.03.05","Obrigações de Longo Prazo",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.04","Provisões",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.05","Passivos Fiscais",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.05.01","Passivos por Impostos Correntes",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.05.02","Passivos por Impostos Diferidos",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.06","Outros Passivos",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.06.01","Compromissos de empréstimos",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.06.02","Outros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.07","Passivos sobre Ativos Não Correntes a Venda e Descontinuados",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.07.01","Passivos sobre Ativos Não Correntes a Venda",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.07.02","Passivos sobre Ativos de Operações Descontinuadas",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08","Patrimônio Líquido Consolidado",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.01","Capital Social Realizado",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.02","Reservas de Capital",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.02.01","Ágio na Emissão de Ações",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.02.02","Reserva Especial de Ágio na Incorporação",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.02.03","Alienação de Bônus de Subscrição",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.02.04","Opções Outorgadas",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.02.05","Ações em Tesouraria",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.03","Reservas de Reavaliação",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.04","Reservas de Lucros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.04.01","Reserva Legal",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.04.02","Reserva Estatutária",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.04.03","Reserva para Contingências",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.04.04","Reserva de Lucros a Realizar",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.04.05","Reserva de Retenção de Lucros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.04.06","Reserva Especial para Dividendos Não Distribuídos",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.04.07","Reserva de Incentivos Fiscais",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.04.08","Dividendo Adicional Proposto",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.04.09","Ações em Tesouraria",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.05","Lucros/Prejuízos Acumulados",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.06","Ajustes de Avaliação Patrimonial",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.07","Ajustes Acumulados de Conversão",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.08","Outros Resultados Abrangentes",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"2.08.09","Participação dos Acionistas Não Controladores",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"2","Passivo Total",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"2.01","Passivos Financeiros ao Valor Justo através do Resultado",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"2.02","Outros Passivos Financeiros Designados ao Valor Justo através do Resultado",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"2.03","Passivos Financeiros ao Custo Amortizado",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"2.03.01","Depósitos de Clientes",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"2.03.02","Valores a Pagar a Instituições Financeiras",0,0
"BANCO DO BRASIL S.A.",2014-12-31,"2.03.03","Obrigações por Operações Compromissadas",0,0
