"name.company","ref.date","acc.number","acc.desc","acc.value","acc.value.infl.adj"
"BANCO DO BRASIL S.A.",2011-12-31,"7.01","Receitas",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.01.01","Intermediação Financeira",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.01.02","Prestação de Serviços",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.01.03","Provisão/Reversão de Créds. Liquidação Duvidosa",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.01.04","Outras",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.02","Despesas de Intermediação Financeira",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.03","Insumos Adquiridos de Terceiros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.03.01","Materiais, Energia e Outros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.03.02","Serviços de Terceiros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.03.03","Perda/Recuperação de Valores Ativos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.03.04","Outros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.03.04.01","Comunicações",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.03.04.02","Processamento de Dados",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.03.04.03","Atualizações de Obrigações Atuarias",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.03.04.04","Prêmios Pagos a Clientes ",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.03.04.05","Atualização de Depósitos em Garantia",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.03.04.06","Falhas em Serviços e Perdas Operacionais",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.03.04.07","Despesas de Obrigações por operações vinculadas à cessão",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.04","Valor Adicionado Bruto",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.05","Retenções",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.05.01","Depreciação, Amortização e Exaustão",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.05.02","Outras",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.06","Valor Adicionado Líquido Produzido",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.07","Vlr Adicionado Recebido em Transferência",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.07.01","Resultado de Equivalência Patrimonial",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.07.02","Outros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.08","Valor Adicionado Total a Distribuir",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09","Distribuição do Valor Adicionado",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.01","Pessoal",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.01.01","Remuneração Direta",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.01.02","Benefícios",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.01.03","F.G.T.S.",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.01.04","Outros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.02","Impostos, Taxas e Contribuições",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.02.01","Federais",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.02.02","Estaduais",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.02.03","Municipais",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.03","Remuneração de Capitais de Terceiros",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.03.01","Aluguéis",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.03.02","Outras",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.04","Remuneração de Capitais Próprios",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.04.01","Juros sobre o Capital Próprio",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.04.02","Dividendos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.04.03","Lucros Retidos / Prejuízo do Período",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.04.04","Part. Não Controladores nos Lucros Retidos",0,0
"BANCO DO BRASIL S.A.",2011-12-31,"7.09.05","Outros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.01","Receitas",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.01.01","Intermediação Financeira",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.01.02","Prestação de Serviços",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.01.03","Provisão/Reversão de Créds. Liquidação Duvidosa",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.01.04","Outras",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.02","Despesas de Intermediação Financeira",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.03","Insumos Adquiridos de Terceiros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.03.01","Materiais, Energia e Outros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.03.02","Serviços de Terceiros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.03.03","Perda/Recuperação de Valores Ativos",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.03.04","Outros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.03.04.01","Comunicações",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.03.04.02","Processamento de Dados",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.03.04.03","Atualizações de Obrigações Atuarias",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.03.04.04","Prêmios Pagos a Clientes ",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.03.04.05","Atualização de Depósitos em Garantia",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.03.04.06","Falhas em Serviços e Perdas Operacionais",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.03.04.07","Despesas de Obrigações por operações vinculadas à cessão",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.04","Valor Adicionado Bruto",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.05","Retenções",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.05.01","Depreciação, Amortização e Exaustão",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.05.02","Outras",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.06","Valor Adicionado Líquido Produzido",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.07","Vlr Adicionado Recebido em Transferência",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.07.01","Resultado de Equivalência Patrimonial",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.07.02","Outros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.08","Valor Adicionado Total a Distribuir",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09","Distribuição do Valor Adicionado",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09.01","Pessoal",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09.01.01","Remuneração Direta",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09.01.02","Benefícios",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09.01.03","F.G.T.S.",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09.01.04","Outros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09.02","Impostos, Taxas e Contribuições",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09.02.01","Federais",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09.02.02","Estaduais",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09.02.03","Municipais",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09.03","Remuneração de Capitais de Terceiros",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09.03.01","Aluguéis",0,0
"BANCO DO BRASIL S.A.",2012-12-31,"7.09.03.02","Outras",0,0
