Date,IBOV
2009-12-30,68588.4
2010-01-04,70045.1
2010-01-05,70239.8
2010-01-06,70729.3
2010-01-07,70451.1
2010-01-08,70262.7
2010-01-11,70433.5
2010-01-12,70075.8
2010-01-13,70385.5
2010-01-14,69801.4
2010-01-15,68978.3
2010-01-18,69400.9
2010-01-19,69908.6
2010-01-20,68200.1
2010-01-21,66270.1
2010-01-22,66220.0
2010-01-26,65523.7
2010-01-27,65069.8
2010-01-28,65587.8
2010-01-29,65401.8
2010-02-01,66571.7
2010-02-02,67163.2
2010-02-03,67108.6
2010-02-04,63934.0
2010-02-05,62762.7
2010-02-08,63153.1
2010-02-09,64718.2
2010-02-10,65051.4
2010-02-11,66128.9
2010-02-12,65855.0
2010-02-17,67284.6
2010-02-18,67836.1
2010-02-19,67597.4
2010-02-22,67184.2
2010-02-23,66108.3
2010-02-24,65794.8
2010-02-25,66121.0
2010-02-26,66503.3
2010-03-01,67227.9
2010-03-02,67779.2
2010-03-03,67641.3
2010-03-04,67814.7
2010-03-05,68846.5
2010-03-08,68575.5
2010-03-09,69576.4
2010-03-10,69979.3
2010-03-11,69884.6
2010-03-12,69341.4
2010-03-15,69023.8
2010-03-16,69942.2
2010-03-17,69723.2
2010-03-18,69697.3
2010-03-19,68829.0
2010-03-22,69041.7
2010-03-23,69386.7
2010-03-24,68913.4
2010-03-25,68441.7
2010-03-26,68682.7
2010-03-29,69939.1
2010-03-30,69959.6
2010-03-31,70371.5
2010-04-01,71136.3
2010-04-05,71289.7
2010-04-06,71095.6
2010-04-07,70792.9
2010-04-08,71784.8
2010-04-09,71417.3
2010-04-12,70614.4
2010-04-13,70792.4
2010-04-14,71034.9
2010-04-15,70524.4
2010-04-16,69421.4
2010-04-19,69097.6
2010-04-20,69318.4
2010-04-22,69386.4
2010-04-23,69509.5
2010-04-26,68871.9
2010-04-27,66511.1
2010-04-28,66655.7
2010-04-29,67978.0
2010-04-30,67529.7
2010-05-03,67119.4
2010-05-04,64869.3
2010-05-05,64914.2
2010-05-06,63414.2
2010-05-07,62870.9
2010-05-10,65452.7
2010-05-11,64424.9
2010-05-12,65223.6
2010-05-13,64788.2
2010-05-14,63412.5
2010-05-17,62866.3
2010-05-18,60841.1
2010-05-19,59689.3
2010-05-20,58192.1
2010-05-21,60259.3
2010-05-24,59915.1
2010-05-25,59184.1
2010-05-26,60190.4
2010-05-27,62091.8
2010-05-28,61947.0
2010-05-31,63046.5
2010-06-01,61841.0
2010-06-02,62942.9
2010-06-04,61675.8
2010-06-07,61182.9
2010-06-08,61793.6
2010-06-09,61478.6
2010-06-10,63048.8
2010-06-11,63605.4
2010-06-14,63532.9
2010-06-15,64442.3
2010-06-16,64750.7
2010-06-17,64540.9
2010-06-18,64437.6
2010-06-21,64829.0
2010-06-22,64810.6
2010-06-23,65160.3
2010-06-24,63936.7
2010-06-25,64823.8
2010-06-28,64225.2
2010-06-29,61977.9
2010-06-30,60935.9
2010-07-01,61236.2
2010-07-02,61429.8
2010-07-05,60865.3
2010-07-06,62064.8
2010-07-07,63283.8
2010-07-08,63476.3
2010-07-12,62960.1
