Date,IBX
2009-12-30,21672.84
2010-01-04,22154.41
2010-01-05,22204.59
2010-01-06,22351.13
2010-01-07,22276.16
2010-01-08,22226.23
2010-01-11,22259.32
2010-01-12,22158.28
2010-01-13,22236.79
2010-01-14,22046.74
2010-01-15,21809.1
2010-01-18,21997.97
2010-01-19,22138.31
2010-01-20,21614.96
2010-01-21,21042.6
2010-01-22,21051.16
2010-01-26,20823.6
2010-01-27,20660.46
2010-01-28,20870.99
2010-01-29,20758.0
2010-02-01,21081.95
2010-02-02,21231.16
2010-02-03,21234.27
2010-02-04,20289.62
2010-02-05,19896.73
2010-02-08,19989.58
2010-02-09,20469.35
2010-02-10,20593.01
2010-02-11,20926.25
2010-02-12,20860.98
2010-02-17,21290.82
2010-02-18,21446.2
2010-02-19,21333.36
2010-02-22,21201.53
2010-02-23,20858.05
2010-02-24,20778.51
2010-02-25,20862.35
2010-02-26,20994.29
2010-03-01,21192.89
2010-03-02,21369.05
2010-03-03,21364.39
2010-03-04,21379.91
2010-03-05,21678.51
2010-03-08,21612.66
2010-03-09,21904.94
2010-03-10,22013.93
2010-03-11,21997.51
2010-03-12,21839.49
2010-03-15,21767.05
2010-03-16,22035.49
2010-03-17,21970.66
2010-03-18,21921.39
2010-03-19,21656.48
2010-03-22,21739.2
2010-03-23,21784.61
2010-03-24,21654.54
2010-03-25,21524.3
2010-03-26,21597.66
2010-03-29,21924.51
2010-03-30,21956.92
2010-03-31,22088.74
2010-04-01,22308.83
2010-04-05,22369.52
2010-04-06,22324.69
2010-04-07,22265.01
2010-04-08,22575.03
2010-04-09,22480.78
2010-04-12,22198.26
2010-04-13,22214.54
2010-04-14,22317.26
2010-04-15,22180.41
2010-04-16,21807.75
2010-04-19,21741.71
2010-04-20,21845.83
2010-04-22,21814.87
2010-04-23,21857.52
2010-04-26,21639.88
2010-04-27,20936.28
2010-04-28,20987.63
2010-04-29,21385.62
2010-04-30,21270.5
2010-05-03,21032.0
2010-05-04,20354.52
2010-05-05,20382.68
2010-05-06,20048.83
2010-05-07,19913.25
2010-05-10,20634.37
2010-05-11,20349.89
2010-05-12,20533.35
2010-05-13,20411.22
2010-05-14,20060.21
2010-05-17,19937.76
2010-05-18,19394.21
2010-05-19,18961.83
2010-05-20,18445.97
2010-05-21,19065.85
2010-05-24,18947.07
2010-05-25,18689.13
2010-05-26,18967.1
2010-05-27,19558.31
2010-05-28,19545.79
2010-05-31,19997.53
2010-06-01,19583.99
2010-06-02,19928.0
2010-06-04,19587.78
2010-06-07,19405.83
2010-06-08,19612.85
2010-06-09,19506.53
2010-06-10,19919.4
2010-06-11,20041.47
2010-06-14,19943.39
2010-06-15,20214.35
2010-06-16,20328.24
2010-06-17,20224.25
2010-06-18,20208.72
2010-06-21,20371.28
2010-06-22,20296.5
2010-06-23,20357.2
2010-06-24,19935.34
2010-06-25,20202.15
2010-06-28,20019.05
2010-06-29,19358.15
2010-06-30,19055.67
2010-07-01,19207.93
2010-07-02,19284.67
2010-07-05,19081.09
2010-07-06,19463.18
2010-07-07,19876.54
2010-07-08,19975.82
2010-07-12,19825.24
2010-07-13,19997.23
2010-07-14,19926.06
2010-07-15,19896.1
2010-07-16,19558.91
2010-07-19,19862.15
2010-07-20,20275.09
2010-07-21,20259.83
2010-07-22,20649.05
2010-07-23,20784.44
2010-07-26,20813.09
2010-07-27,20842.58
2010-07-28,20982.53
2010-07-29,20985.47
2010-07-30,21151.28
2010-08-02,21470.37
2010-08-03,21336.45
2010-08-04,21386.08
2010-08-05,21429.34
2010-08-06,21355.14
2010-08-09,21309.22
2010-08-10,21117.99
2010-08-11,20652.0
2010-08-12,20736.57
2010-08-13,20779.88
2010-08-16,20922.74
2010-08-17,21156.62
2010-08-18,21153.23
2010-08-19,20903.78
2010-08-20,20844.58
2010-08-23,20639.37
2010-08-24,20350.17
2010-08-25,20248.74
2010-08-26,19975.67
2010-08-27,20524.49
2010-08-30,20125.14
2010-08-31,20435.61
2010-09-01,21016.46
2010-09-02,20887.96
2010-09-03,20923.06
2010-09-06,20933.92
2010-09-08,20779.11
2010-09-09,20781.29
2010-09-10,20800.16
2010-09-13,21227.28
2010-09-14,21112.34
2010-09-15,21224.85
2010-09-16,21107.5
2010-09-17,20959.4
2010-09-20,21276.89
2010-09-21,21092.84
2010-09-22,21226.46
2010-09-23,21385.49
2010-09-24,21256.21
2010-09-27,21470.89
2010-09-28,21595.17
2010-09-29,21773.42
2010-09-30,21852.36
