,OIBR4.SA,TIET3.SA,LAME4.SA,LAME3.SA,SANB4.SA,COCE3.SA,SANB11.SA,ROMI3.SA,OIBR3.SA,BRKM3.SA,GGBR4.SA,BBDC3.SA,SULA11.SA,KLBN3.SA,CLSC3.SA,FLRY3.SA,AEDU3.SA,VIVT4.SA,KLBN11.SA,ELPL3.SA,EMBR3.SA,ODPV3.SA,FIBR3.SA,SUZB3.SA,SULA4.SA,TIET4.SA,ITSA3.SA,BBAS3.SA,ITUB3.SA,CESP6.SA,CPFE3.SA,EVEN3.SA,ITSA4.SA,BRFS3.SA,KLBN4.SA,COCE5.SA,ELET5.SA,CPLE3.SA,BRKM5.SA,USIM6.SA,TIMP3.SA,USIM3.SA,UGPA3.SA,SBSP3.SA,CSMG3.SA,CPLE6.SA,GOAU4.SA,BBDC4.SA,CLSC4.SA,VIVT3.SA,CESP3.SA,NTCO3.SA,LIGT3.SA,MRVE3.SA,GGBR3.SA,TIET11.SA,SULA3.SA,GOAU3.SA
2009-11,19.3766,0.0548,6.9548,5.092,7.6633,17.254,13.6649,6.4875,264.2783,6.2884,22.6889,6.425,5.5789,0.5618,,,,20.9784,,,7.6951,1.1604,26.0182,,,1.9646,3.9597,34.6288,12.0885,13.9883,9.2764,5.6164,8.2424,18.2314,3.8799,15.5945,18.0206,19.0974,7.8666,,5.0099,23.1449,,6.0212,19.014,23.9334,27.935,8.4508,,15.322,9.62,33.5364,13.8455,7.6727,16.4413,,,24.3117
2009-12,19.1029,0.0529,7.4487,5.6232,8.029,17.2592,14.1381,6.0267,259.5607,7.1506,24.5477,6.7374,6.0428,0.5736,,,,21.1681,,20.7688,8.4817,3.0705,33.8904,,,2.0692,4.6145,33.392,12.1315,15.6709,10.2038,6.1493,8.7186,20.2739,4.2131,16.5893,18.9751,20.2633,9.6147,11.7428,5.6323,23.7546,,6.5509,21.0038,26.2044,29.7363,8.5526,,15.2656,10.088,36.2952,14.9318,8.5296,17.9165,,,24.6466
2010-01,14.9289,0.0529,6.3452,5.0611,7.6638,17.5248,13.3214,7.2444,191.2504,7.1738,21.3466,6.3578,5.6953,0.6349,,5.5438,,20.4127,,22.0277,8.9097,2.7826,29.6422,,,1.9638,4.1338,31.593,11.9047,15.3186,10.4841,5.4365,8.2752,20.1757,3.8716,16.0138,,21.3733,9.0546,10.9368,5.514,23.5412,,6.0537,16.108,27.2656,26.6877,8.1054,,14.9883,10.3219,33.9262,14.3283,7.3499,15.766,,,23.1352
2010-02,14.1644,0.0539,6.2351,4.7887,7.2989,17.5248,12.653,6.9361,186.6271,7.1506,22.2814,6.3356,5.5206,0.5639,50.0,5.686,15.0,19.3428,,23.1353,8.7492,3.1837,28.5671,,,1.9659,4.2448,33.7339,11.8338,15.1621,10.7327,5.4003,8.5188,19.7063,3.7687,16.1323,25.4298,20.0687,8.7271,11.6291,5.7897,24.2813,,5.8605,15.9816,26.0346,27.9735,8.0689,,14.2166,9.828,33.2865,15.317,7.9248,16.219,,,24.2278
2010-03,13.001,0.0537,6.3656,4.861,7.6638,17.7903,13.0649,6.4824,148.7921,6.7253,24.3451,6.5005,6.6652,0.5843,50.0,5.4044,,18.9056,,22.0781,9.3822,3.1807,33.327,,,1.997,4.1384,33.9411,12.3692,15.964,11.0182,4.7524,9.0217,21.4045,4.34,16.1431,23.2233,20.6518,8.9385,13.5585,5.514,29.6371,3.5251,6.1941,16.2349,25.7586,31.0649,8.4997,,13.2295,10.2335,36.0853,15.0128,7.5074,17.7873,,,24.5645
2010-04,12.7273,0.0536,6.2115,4.9051,6.934,16.9939,11.9413,6.3475,135.583,6.3115,23.9659,6.4232,6.8991,0.6221,50.02,5.0431,,17.4152,,23.9156,9.164,2.9256,29.9023,,,2.0084,4.0809,34.1002,12.1835,16.4207,11.0929,4.4799,8.8809,20.2872,4.3509,15.5906,23.2233,19.6346,8.5835,,4.9109,25.967,,6.4774,16.2326,25.0969,28.9869,8.247,,12.9987,10.088,36.885,14.6574,7.4409,17.5369,,,24.236
2010-05,13.5604,0.0691,5.957,4.1538,6.5693,15.5048,11.4659,5.886,150.6792,5.2423,21.1612,6.1199,6.7806,0.6667,50.0,5.0629,,17.8709,,22.275,8.7598,3.1421,25.5761,,,2.1099,3.8296,29.7581,11.2863,14.3505,11.4511,4.879,8.2586,20.8236,3.9688,14.7628,24.4236,17.5208,7.368,,5.6436,21.3934,,6.7918,15.5053,23.8209,27.158,7.8847,,13.2039,9.4254,37.8846,12.7862,7.3754,15.0243,,,20.5645
2010-06,13.845,0.0723,6.2837,4.4633,6.2039,15.8646,11.1524,5.8913,150.9621,6.1907,19.9676,5.8722,6.4162,0.6324,50.0,5.686,,18.4907,,,8.3717,3.5672,23.0965,,,2.2464,3.8789,28.2348,10.6032,16.1124,12.2802,4.9603,7.9381,21.2239,3.977,15.5906,24.4236,19.045,8.5563,12.3795,5.8769,22.5344,,7.2767,16.0845,26.3731,25.0013,7.3367,,14.3086,9.949,39.9837,13.1106,7.9309,14.1385,,,19.6147
2010-07,13.2292,0.076,7.2061,4.9493,7.3007,16.1378,13.9869,6.7149,149.4526,6.3459,21.4994,6.5117,6.7384,0.673,50.0,5.8025,,19.4231,,24.9684,10.3657,3.7431,24.2235,,,2.3924,4.3722,34.981,12.4651,17.7628,12.6509,6.0546,9.6948,22.1283,4.082,16.6089,21.9813,19.6067,9.0205,,5.5953,24.2461,,6.8246,16.6052,27.011,26.5334,9.2628,,15.3647,10.2058,45.6814,13.7218,9.8404,15.122,,,20.9774
2010-08,12.6708,0.0829,7.1054,5.1701,6.9357,17.2876,13.4215,6.6626,142.7537,7.9267,19.885,6.2364,7.5043,0.6439,50.0,6.1819,,20.6473,,,9.7434,4.2403,23.4606,,,2.3547,4.2655,32.7312,12.0641,16.7651,13.6327,6.0913,9.1446,21.0895,3.9066,17.8654,21.9813,19.9969,10.5705,9.9418,5.6276,21.9354,,6.4833,16.2376,27.4856,24.1112,8.7531,,16.0806,10.469,42.2828,13.6346,9.1415,14.2386,,,20.412
